Time [s],Channel 0
0.000080562,0
3.924457944,1
4.415169198,0
4.415181394,1
4.641472322,0
4.641480532,1
4.867593324,0
4.867601624,1
5.093731774,0
5.093740438,1
5.319850048,0
5.319858336,1
5.545810098,0
5.545818874,1
5.771913066,0
5.771921770,1
5.998020666,0
5.998029054,1
6.224100176,0
6.224108426,1
6.450149128,0
6.450157344,1
6.676107012,0
6.676115282,1
6.902231094,0
6.902239282,1
7.128234678,0
7.128243032,1
7.354151342,0
7.354159670,1
7.580407272,0
7.580415544,1
7.806618760,0
7.806627578,1
8.032611926,0
8.032620214,1
8.258733096,0
8.258741354,1
8.484746226,0
8.484754960,1
8.710782090,0
8.710790388,1
8.936783300,0
8.936791546,1
9.162808380,0
9.162816742,1
9.388826862,0
9.388835100,1
9.614993066,0
9.615001270,1
9.840995354,0
9.841003638,1
10.067078896,0
10.067087144,1
10.293163984,0
10.293172690,1
10.519265412,0
10.519273672,1
10.745249406,0
10.745257582,1
10.971244708,0
10.971253518,1
11.197249094,0
11.197257436,1
11.423168064,0
11.423176784,1
11.649300042,0
11.649308314,1
11.875337038,0
11.875345376,1
12.101546292,0
12.101555102,1
12.327578030,0
12.327586282,1
12.553649338,0
12.553657614,1
12.779580468,0
12.779588756,1
13.005627880,0
13.005636150,1
13.231651656,0
13.231660020,1
13.457677162,0
13.457685434,1
13.683678224,0
13.683686580,1
13.909885538,0
13.909893892,1
14.136137380,0
14.136145738,1
14.362072696,0
14.362080934,1
14.588181496,0
14.588189826,1
14.814264488,0
14.814272760,1
15.040450630,0
15.040458910,1
15.266433550,0
15.266441976,1
15.492642350,0
15.492650960,1
15.718662478,0
15.718670698,1
15.944663162,0
15.944671814,1
16.170645652,0
16.170653986,1
16.396706252,0
16.396714574,1
16.622939650,0
16.622947872,1
16.849023476,0
16.849031776,1
17.075067338,0
17.075076000,1
17.301043886,0
17.301052608,1
17.527275224,0
17.527283890,1
17.753361512,0
17.753369772,1
17.979444918,0
17.979453224,1
18.205445936,0
18.205454570,1
18.431328102,0
18.431336294,1
18.657340590,0
18.657349004,1
18.883241608,0
18.883249866,1
19.109467746,0
19.109476442,1
19.335491968,0
19.335500172,1
19.561576260,0
19.561584556,1
19.787661798,0
19.787670438,1
20.013703804,0
20.013712076,1
20.239828960,0
20.239837760,1
20.466037998,0
20.466046270,1
20.692163896,0
20.692172516,1
20.917965162,0
20.917973500,1
21.144040842,0
21.144049138,1
21.370115146,0
21.370123456,1
21.596290914,0
21.596299586,1
21.822335406,0
21.822344256,1
22.048437630,0
22.048446360,1
22.274420932,0
22.274429634,1
22.500481198,0
22.500490008,1
22.726548042,0
22.726556356,1
22.952442240,0
22.952450508,1
23.178544600,0
23.178552992,1
23.404545488,0
23.404553846,1
23.630473312,0
23.630482042,1
23.856469298,0
23.856477546,1
24.082600460,0
24.082608752,1
24.308678154,0
24.308686468,1
24.534722240,0
24.534730878,1
24.760679980,0
24.760688286,1
24.986680978,0
24.986689296,1
25.212807372,0
25.212815566,1
25.438856008,0
25.438864642,1
25.664808640,0
25.664816916,1
25.890883508,0
25.890892242,1
26.116977734,0
26.116986468,1
26.342943726,0
26.342952020,1
26.568936726,0
26.568945610,1
26.794982668,0
26.794996716,1
27.020938522,0
27.020947106,1
27.246941484,0
27.246950444,1
27.473001172,0
27.473009794,1
27.699015976,0
27.699024706,1
27.925141604,0
27.925150422,1
28.151111576,0
28.151120238,1
28.377111570,0
28.377120154,1
28.603071932,0
28.603080558,1
28.829006428,0
28.829014874,1
29.055120778,0
29.055129344,1
29.281147090,0
29.281156074,1
29.507073356,0
29.507082310,1
29.733035258,0
29.733044238,1
29.959011408,0
29.959020422,1
30.185012582,0
30.185021608,1
30.271930880,1
